Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
GTEX-17HGU-1326-SM-79OKB	0.00198818945908455	0	0	0.0598479583751399	0	0.0508179796422734	0	0.0355370484976623	0	0	0.046903965278491	0.0627046450037503	0.194324813640469	0	0.0386281908378459	0.313102808123788	0	0	0.196144401141496	0	0	0	0.091	0.118611476181706	1.03884003946938	1.93
GTEX-17HHE-1426-SM-7EPH4	0.0825781120396764	0	0.00221843029494102	0.067792413348406	0	0.0743854372520228	0	0.0624025501026816	0	0	0.0108106347020532	0.0348637828683157	0.0693497367211285	0	0.00921573856606641	0.20958389151692	0	0.00111652666623682	0.375682745921552	0	0	0	0.054	0.148822666693189	1.03394980393998	2.855
GTEX-17HHY-0926-SM-793C1	0.000108849379477379	0.0032076723645848	0	0.037307430427554	0	0.196515387747862	0	0.0894163705755535	0.0127419493302123	0	0.0384309928007846	0.0586684640969918	0.101027154743512	0.0214376297861203	0.0243707875934484	0.139212318211632	0.00284225056121082	0	0.274712742381056	0	0	0	0.1	0.111073820980661	1.04246875744793	3.6055
GTEX-17JCI-0726-SM-7EPH1	0.0518187706207144	0	0.0308282133329745	0.0857543704400178	0	0.134487931680695	0	0.0762685054445595	0	0	0.027460871284907	0.0182108455095324	0.0758466277271082	0	0.0360608752471199	0.34221874785708	0	0.0252442311615861	0.0958000096937049	0	0	0	0.129	0.0921077111703936	1.0393291991277	3.253
GTEX-17KNJ-2026-SM-7LG53	0.000756002569384785	0	0	0.035805758241678	0	0.166938281361239	0	0.00771040848764923	0.0184582083968202	0	0.028709099504777	0.0118287034362246	0.0934625434145319	0	0.0199617873353999	0.404156101130511	0.00267352521380447	0	0.20953958090798	0	0	0	0.03	0.188446969099579	1.01009277704632	2.1715
GTEX-17MF6-0326-SM-7EPH5	0.057372661308232	0	0	0	0	0.0355540749613897	0	0.0033038191177897	0	0	0.0361568460146762	0	0.172663265394314	0	0.0314840886308851	0.328502511052086	0	0	0.146744371476548	0	0	0.18821836204408	0.1	0.111123018734367	1.06378181762182	2.1295
GTEX-17MFQ-0926-SM-7LG4S	0.00382911081364398	0	0.00226285622924748	0.0314137160545693	0	0.0845687773001839	0	0.00287456408506924	0.00665341381877933	0	0	0.0464975686099996	0.0885304479358964	0	0.0141723386639465	0.430259683232277	0.00308746819310064	0	0.285850055063286	0	0	0	0.028	0.194764171091861	1.0160181020235	2.1915
GTEX-183FY-1126-SM-7DHLJ	0.0105371409996032	0	0	0.119357249096973	0	0.0597616854075624	0	0.0102108477567433	0	0	0.00572702255685569	0.0739072730799818	0.052803596234747	0	0.0263720722506874	0.395128330491073	0	0	0.246194782125773	0	0	0	0.0649999999999999	0.131474195131214	1.0374571239652	1.6445
GTEX-183WM-0726-SM-7LTAA	0.0534287637729145	0	0	0.228762337318823	0	0.103981007947559	0	0.00349899005381959	0	0.0260373484098932	0.0762025519270571	0.00917019526046969	0.298718293500222	0	0.0487866450372658	0.0842819666027838	0	3.04525424367027e-05	0.0556331961206997	0	0	0.0114682515060558	0.014	0.257108273837171	0.985650119217589	2.118
GTEX-18465-2026-SM-718AP	0.109470012202696	0	0	0.0284218728742558	0	0.054551604765982	0	0.0570841842417436	0	0	0.10649134278941	0.0387995268162329	0.0509879729543589	0	0.0216675784177688	0.329205636154381	0	0	0.203320268783172	0	0	0	0.206	0.0661415916875409	1.05534806592979	1.519
GTEX-18A6Q-0926-SM-7LG4N	0.0212567262733414	0	0	0.0138214016628314	0	0.095556857582817	0	0.0794848408959486	0	0	0.00379530153283885	0.080488698301518	0.116104850110253	0	0.0685683170825678	0.345465935981678	0	0	0.161964907637028	0.0134921629391772	0	0	0.093	0.117550530528604	1.03649520271726	2.2385
GTEX-18A7A-0726-SM-7LTAI	0.178061346068898	0	0.0437132641432772	0.130714473534458	0	0.136921475551234	0	0.0932092432888138	0	0	0.00779433069259952	0.00970051997594581	0.0238528102937818	0.00166329822021363	0.00379946978487292	0.20738180129621	0	0	0.163187967149696	0	0	0	0.1	0.109583657637951	1.042660679038	3.1075
GTEX-18A7B-2626-SM-7LG55	0.0770438578419907	0	0.0112656659114699	0	0	0.171779882454082	0	0.00664903160875205	0.0186666793789777	0	0.0436642158572278	0.000523897158518872	0.0917036439101868	0.0759223261506687	0.0334995238290988	0.390228233968194	0	0	0.0790530419308328	0	0	0	0.039	0.17034195289169	1.01560862897061	2.4735
GTEX-18D9A-1526-SM-7LG4J	0	0.00029042217343636	0	0	0	0.164507465366116	0	0.0108138706870312	0.0213184928651836	0	0.106413870560678	0.0147419072119351	0.0826318312350389	0	0.0116892265046506	0.342522260840421	0	0	0.234141593414933	0	0	0.010929059140577	0.17	0.0743287581663327	1.05567521580536	1.077
GTEX-18QFQ-0826-SM-718AX	0.00167557969453242	0	0.00156768446415492	0.0941532856998496	0	0.126528545487803	0	0.0923775469497141	0.0101011456143516	0	0.137905677463032	0	0.0967817398855489	0.00134644505981669	0.0282522969732246	0.13993132010278	0.00188766702285193	0	0.267491065582341	0	0	0	0.205	0.0666001355016008	1.06298624212826	2.228
GTEX-1A3MV-1626-SM-731C1	0	0	0.00267859501223092	0.00663317386361208	0	0.156277519296913	0	0.0935888580584551	0.00989161585940797	0	0.00674379981721576	0.0717625753679957	0.0505323962403118	0.025380010626369	0	0.169303895966423	0	0	0.407207559891065	0	0	0	0.051	0.150743500157957	1.04222132886003	1.6305
GTEX-1A3MX-2726-SM-718B6	0.0323663683798343	0	0	0	0.0570548022104613	0.0498994989597326	0	0.0283938479602423	0	0	0.103542338304544	0.00545149641632999	0.298293434140708	0.0123467800060804	0.0388944253549887	0.189589515217454	0	0.000879842037657552	0.106149878378409	0	0	0.0771377726335581	0.641	0.000393949600320718	1.09055049005806	0.9543
GTEX-1A8G7-2426-SM-731AK	0.0811116722171247	0	0.00494883700229202	0.121869131930275	0	0.0529116734730144	0	0.0521951743202966	0	0	0.0639436643846084	0.0351038143450712	0.123344553453564	0	0.167947646203906	0.124104241116305	0	0	0.172519591553542	0	0	0	0.121	0.0956559485862965	1.05323119307562	2.357
GTEX-1AMEY-1026-SM-718AA	0.00104830981113096	0	0.00156616304686808	0.0105302320526762	0	0.0995986186652852	0	0.0166888343406193	0.00103819652216212	0	0.00921130727881968	0.0347202092464996	0.102384571521807	0	0.0073637570563859	0.454809751355506	0.00495797259220009	0	0.25608207651004	0	0	0	0.012	0.283877410688069	0.974882081633959	1.56
GTEX-1AX8Z-0926-SM-731AW	0.0457048474816347	0	0	0.00718459027442412	0	0.1392401926988	0	0.0480021663077314	0.00728336944019933	0	0	0.0417166011711697	0.1089689092954	0	0.0514096008645517	0.409654149806521	0	0	0.125338271657421	0	0	0.0154973010021492	0.144	0.0834976136614418	1.05012935390155	2.699
GTEX-1AX9I-0726-SM-73KWV	0.00160043610199755	0	0.00319389340397538	0	0	0.285220817793726	0	0.0204348761071987	0.0529263144282699	0	0.0267101803915978	0.000981365228173532	0.0803975422144327	0	0.0287148691455719	0.42486248932867	0.000446218407982017	0	0.0719856542286945	0	0	0.00252534321970983	0.042	0.165685505750346	1.02095275655248	2.5975
GTEX-1AX9J-1126-SM-731B7	0.0948732853000016	0	0.00898277333822174	0.0296049339540986	0	0.119981447243046	0	0.000252938939126925	0	0	0.0411609764992225	0.00109356176305437	0.0511488705450045	0	0.0108346629385718	0.339406470312354	0	0	0.302660079167298	0	0	0	0.096	0.115369778520622	1.0421319693085	1.927
GTEX-1B8KE-1226-SM-73KWK	0.10656567385025	0	0.0284536470827848	0.0573439584351903	0	0.174074914805352	0	0.0275055208037258	0	0	0.0529478691917529	0.00611891444828558	0.0941463980430839	0	0.0838994507520111	0.301040882399314	0	0	0.0660146542853697	0	0	0.00188811590288036	0.176	0.0730346193646889	1.0486807702417	1.8895
GTEX-1B8KZ-1526-SM-7DUG7	0.0663668585480183	0	0.00286440065498782	0.0100178820804534	0	0.190878188678504	0	0.0246250621972196	0	0	0.0194846479908447	0.0712879833274856	0.0577824811008707	0	0.031565749024406	0.224312793810954	0	0	0.300813952586255	0	0	0	0.028	0.197082071246502	1.00571666341935	2.018
GTEX-1B932-0826-SM-73KXG	0.0861355172480145	0	0.00321234846865743	0.180397258588082	0	0.065919886255322	0	0.0888887195176597	0	0	0.00657107813145198	0.0438545401924566	0.072160026027652	0.0619919913200991	0.00178458407783757	0.300898860625207	0	0	0.0881851895475591	0	0	0	0.118	0.0970599419987332	1.04387916207876	4.146
GTEX-1B933-2526-SM-7IGO5	0.012583455794804	0	0	0.0928776503900527	0	0.168556031694064	0	0.0254870804136037	0	0	0.0717730835564817	0	0.0543590905611769	0	0.0631488289152661	0.397156103897434	0	0	0.114058674777118	0	0	0	0.074	0.1279107881534	1.03296575040404	2.2755
GTEX-1B97I-0426-SM-79OL7	0	0.00715032851356398	0	0	0	0.260206297152113	0	0.0644424256102465	0.0748833490022588	0	0.0979351307819643	0	0.0799520828362759	0	0.00749731820548132	0.163251657870149	0	0	0.241716904957817	0	0	0.00296450507013076	0.169	0.0747830971788475	1.05717727367606	1.874
