Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
GTEX-TMMY-0008-SM-4DXU3	0	0.00200721043397706	0	0.0129348708702411	0	0.0982684097920736	0	0	0	0	0.0500906127090032	0	0.0238786008164108	0.00316008831091527	0	0	0	0.0012079201750516	0	0.0355022868923274	0	0	0.721	-0.00725450767289384	1.14110103248298	0.22705
GTEX-TMZS-0008-SM-47JWM	0.0114354097933911	0	0	0.0319683408712704	0.0746342689255459	0.0319837917126493	0	0	0	0	0.0318520832868607	0	0.0206958918173463	0.0390256560225299	0	0	0	0.0330038530221546	0.00240070454825175	0	0	0	0.72	-0.00709834933939244	1.11293433913073	0.277
GTEX-TSE9-0008-SM-4DXT8	0.000742654859300559	0	0	0	0.0908386642084456	0.0838567087885236	0	0	0	0	0.00978224967005937	0.00737705889834136	0.0145823382726542	0.0241353690478962	0	0	0	0.0242265486687155	0	0.0228084075860637	0	0	0.753	-0.0104409778503427	1.13169635433658	0.27835
GTEX-U3ZG-0008-SM-47JWL	0.0273703091567486	0	0	0	0.0262267121540407	0.0768818009665034	0	0	0	0	0.0217810159169732	0	0.0074373560808868	0.0173960224922816	0	0	0	0.106796392256425	0	0.0266217746772076	0	0.000188616298933413	0.979	-0.0400743447758382	1.13360070536105	0.3107
GTEX-U3ZH-0008-SM-4DXT2	0.010281970747695	0	0	0.00561016725643307	0.0585154425861422	0.0252259632498027	0	0	0	0	0.0299172512346717	0	0.00475085858243381	0.041131163015439	0	0	0	0.0542810605399123	0	0.0328861227874702	0	0	0.942	-0.0308943264258495	1.11535408562743	0.2626
GTEX-U3ZM-0008-SM-4DXTQ	0	0.00197134554166728	0.0003940816469069	0.0121832784528914	0.0259562460512382	0.0378663537451241	0	0	0	0	0.0269784147852974	0	0.000715522284174233	0.0666850099802566	0	0	0	0.0611608037314614	0	0.0306889437809826	0	0	0.47	0.0182232094476931	1.10473603635436	0.2646
GTEX-U3ZN-0008-SM-4DXTL	0	0.00900907186645824	0	0.0405928842912201	0.0626253136516653	0.0205190703552173	0	0	0	0	0.0298120454140731	0	0.00587140130324557	0.0301671236387428	0	0	0	0.0622296353949777	0	0.0345734540843999	0	0	0.79	-0.0142792121550446	1.11554680481244	0.2954
GTEX-U412-0008-SM-4DXTE	0	0.0034325993568049	0	0.00904057352616186	0.0665331956917628	0.0249506392031442	0	0	0	0	0.0310744288277273	0	0.00305183895467103	0.0235800931109279	0	0	0	0.0678473130111098	0	0.0364893183176903	0	0	0.952	-0.0331098589781828	1.12800322286987	0.266
GTEX-U4B1-0008-SM-4DXUW	0	0.00293152703309922	0	0.00453710406953136	0.0885107604387214	0.0376742593540559	0	0	0	0	0.0110008247014424	0.00164927715998096	0.00359053940389835	0.0527755488752136	0	0	0	0.0902106779531336	0	0.00811948101092318	0	0	0.893	-0.0229960522038686	1.13514576067572	0.301
GTEX-U8T8-0008-SM-4DXSP	0.00765387450307971	0	0	0.0066991950419216	0.0249455377130182	0.0828007429313838	0	0	0	0	0.033423507518957	0	0.0160587857821531	0.0075509342217354	0	0	0	0.0236301746949686	0	0.0350872475927825	0	0	0.79	-0.0143364205595609	1.118498329698	0.23785
