SAMP2	COMMD3	pheno166.2	EXPR_BIN	PHENOTYPE
GTEX-ZV6S	29.72	0.0677569622387159	[17.4,31.5]	0.0677569622387159
GTEX-ZV7C	36.46	0.0582363561343001	(31.5,37.1]	0.0582363561343001
GTEX-ZVP2	27.84	0.0461898833537305	[17.4,31.5]	0.0461898833537305
GTEX-ZVT3	43.11	0.376942465919582	(37.1,61.6]	0.376942465919582
GTEX-ZVZP	28.5	0.039685805681292	[17.4,31.5]	0.039685805681292
GTEX-ZVZQ	49.51	0.555891273652985	(37.1,61.6]	0.555891273652985
GTEX-ZXG5	37.21	0.234631635348007	(37.1,61.6]	0.234631635348007
GTEX-ZY6K	36.48	0.236878772820272	(31.5,37.1]	0.236878772820272
GTEX-ZYFC	50.05	0.587095568833056	(37.1,61.6]	0.587095568833056
GTEX-ZYFD	22.33	0.459503640603439	[17.4,31.5]	0.459503640603439
GTEX-ZYFG	31.5	0.105506887076997	[17.4,31.5]	0.105506887076997
GTEX-ZYT6	43.51	0.275498907872771	(37.1,61.6]	0.275498907872771
GTEX-ZYVF	43.74	0.0801892479317857	(37.1,61.6]	0.0801892479317857
GTEX-ZYW4	42.43	0.0964303868754334	(37.1,61.6]	0.0964303868754334
GTEX-ZYY3	35.17	0.567118922273615	(31.5,37.1]	0.567118922273615
GTEX-ZZ64	27.17	0.141428087049029	[17.4,31.5]	0.141428087049029
GTEX-ZZPU	36.45	0.0504398304537234	(31.5,37.1]	0.0504398304537234
