tis	pheno	beta_age_cib.rel	p_age_cib.rel	beta_sex_cib.rel	p_sex_cib.rel	beta_age_cib.abs	p_age_cib.abs	beta_sex_cib.abs	p_sex_cib.abs	beta_age_xcell	p_age_xcell	beta_sex_xcell	p_sex_xcell	p_age_brown	p_sex_brown	age.coef_direc	sex.coef_direc	p_age_brown.fdr	p_sex_brown.fdr	phenotype	xcell.fdr	cib.abs.fdr	cib.rel.fdr	brown.fdr
Heart - Atrial Appendage	MastSum	-0.00129474426119745	0.693992043328956	-0.0145149792647213	0.0434723632641199	0.00291247635393949	0.381788088719666	-0.0160418836231496	0.0274602128078469	0.000210571679336582	0.0836861878171692	-0.000256673440050772	0.331949844524148	0.280050572230983	0.0356091696876622	+	-	0.476842866231133	0.155909790878343	Heart - Atrial Appendage-MastSum	0	0	0	0
Heart - Atrial Appendage	Myeloid_Sum	-0.00065770052688093	0.922679298616555	0.00619435355562908	0.674607178718733	0.0158915621010056	0.341483519011769	-0.0420318211915173	0.247990769558749	-0.00344264077272746	0.793653579106814	-0.00739439905387001	0.796354738840921	0.701281646797102	0.563493132201996	+	-	0.774942508436963	0.765772718120661	Heart - Atrial Appendage-Myeloid_Sum	0	0	0	0
Heart - Atrial Appendage	Monocytes	-0.00545650287823709	0.202765814080692	0.0081788240943359	0.380152360072159	-0.00253216412718484	0.692942663125937	-0.00502072978267281	0.719116086368061	0.000457259719509619	0.806508058114494	-0.00150669282281826	0.710865558399568	0.552847344683751	0.673172105873523	-	-	0.682929072844633	0.80476966040519	Heart - Atrial Appendage-Monocytes	0	0	0	0
Heart - Atrial Appendage	Lymph_Sum	0.000657700526880945	0.922679298616553	-0.00619435355562938	0.674607178718718	0.0137386322147712	0.295052509531299	-0.023506467437037	0.410372002852715	-0.00510278246900038	0.188346930715515	0.00669416835253211	0.427508412774035	0.414956045337084	0.594156087912245	+	-	0.557896701146198	0.774551223638242	Heart - Atrial Appendage-Lymph_Sum	0	0	0	0
Lung	T cells CD8	0.000380598377815703	0.83448471058118	0.0048563579520558	0.275420052052446	0.00617970409668139	0.666987385894379	0.059923859577991	0.088156630502853	0.00437778402440792	0.11361596194364	0.00829551485297257	0.21945134790986	0.425120473988911	0.159035962352307	+	+	0.565405426961499	0.371863500206129	Lung-T cells CD8	0	0	0	0
Lung	CD4_memory	0.00621321896435185	0.0258507978362506	0.00647253076152142	0.340783176512961	0.053625718873209	0.0267080440951696	0.10183233329325	0.0846344503940466	0.00301196548501087	0.0717685665070789	0.00685973501226425	0.0931305186238797	0.0170221904834878	0.11130069839063	+	+	0.130176502046694	0.288581095760966	Lung-CD4_memory	0	0	0	0
Lung	Neutrophils	-0.00260095201786656	0.313472385204299	-6.34620485443767e-05	0.991962472347916	-0.00929190920780224	0.560064809631699	0.00638413388408728	0.869787098470605	-0.000395605182740378	0.748062892882189	0.00249553890945724	0.407037895941617	0.565982519353248	0.789717868516583	-	+	0.69461491011535	0.890532915561253	Lung-Neutrophils	0	0	0	0
Lung	MacrophageSum	-0.00661381671275686	0.109227663865679	-0.0106671770991817	0.289875722371814	-0.0254490410842899	0.285555038245428	0.00237512144179737	0.967433608218573	-0.00310392804393474	0.239423373373274	-0.01008981991721	0.117715333560415	0.185956733237641	0.329223955041589	-	+	0.366102318561607	0.594847827859236	Lung-MacrophageSum	0	0	0	0
Lung	Bcellsum	0.00203270815523692	0.39463834697462	0.00298293831680805	0.609007085077185	0.0126389374609827	0.399647982694436	0.0293559607089317	0.423227552230511	0.000227875899455468	0.93008180854943	0.00587071030556536	0.355038783714214	0.602572007762147	0.504658954108108	+	+	0.725389232274176	0.731255977880362	Lung-Bcellsum	0	0	0	0
Lung	NK_Sum	0.00208184191729655	0.197095126192378	0.00211592608007952	0.59119705648291	0.0219641338193196	0.0865743038927338	0.0304524349484167	0.330151202726287	-7.45965348591404e-05	0.88355620481072	0.000949071148539734	0.445741924550064	0.236230152689534	0.503314710348429	+	+	0.422480992755148	0.731255977880362	Lung-NK_Sum	0	0	0	0
Lung	MastSum	0.00301717722397258	0.283246527202532	-0.00137230023885496	0.841542234602117	0.0235594464741797	0.234146796456654	0.0162284485234756	0.737066274326458	-0.000583785239443594	0.124244518532577	0.000343619818130874	0.710725858177985	0.183370816533319	0.859102581374348	+	+	0.364811413945235	0.910648736256809	Lung-MastSum	0	0	0	0
Lung	Myeloid_Sum	-0.0112288957343191	0.023968431155372	-0.0185023594092444	0.127174276325802	-0.0383053746913575	0.328522862809698	0.0550187023308088	0.565488081920179	-0.0237164301059013	0.0812902026709555	-0.0174275934293818	0.599407891436345	0.0554427463954881	0.373785976604418	-	+	0.205776422082086	0.615007017546481	Lung-Myeloid_Sum	0	0	0	0
Lung	Monocytes	-0.00501249377918829	0.13287693984886	-0.00471359066879327	0.562466124415078	-0.0261922052774681	0.299192067123367	0.0365095786164677	0.55342281564368	-0.00421140140468627	0.0769823754094613	0.00322581613159231	0.578586230666635	0.125583044113171	0.62503206665215	-	+	0.312305201807753	0.781169952446775	Lung-Monocytes	0	0	0	0
Lung	Lymph_Sum	0.0112288957343191	0.0239684311553717	0.0185023594092444	0.127174276325801	0.0974897102164819	0.0418052907359151	0.236685917970781	0.0430778217233977	0.00391599517804036	0.623101210922107	0.0255531224403499	0.189655004629435	0.0639421184420191	0.0795113792336695	+	+	0.22802000727437	0.258006312207213	Lung-Lymph_Sum	0	0	0	0
Nerve - Tibial	T cells CD8	0.00651233138899973	2.21514333242677e-05	0.00123216765584168	0.745079176277032	0.0157643130043925	0.000160608793306096	0.00415374501788369	0.6877714814719	0.000372632702849762	0.203106849943372	0.00041861973122916	0.566475053229875	1.18731975847406e-05	0.800352484439499	+	+	0.00037400572391933	0.893644823369332	Nerve - Tibial-T cells CD8	0	1	1	1
Nerve - Tibial	CD4_memory	-0.00411978245598244	0.0770294906713709	0.00991354638149955	0.0882437449323303	-0.000788345115339371	0.890206357092709	0.0174982543176185	0.220075089881466	0.00282354688948697	1.14847132041689e-06	-0.0015819724494809	0.268210982024592	0.00018345642247928	0.133282094645631	-	+	0.00433415798107298	0.331122703885239	Nerve - Tibial-CD4_memory	1	0	0	1
Nerve - Tibial	MacrophageSum	0.00505263600915513	0.0938061248230215	-0.00738609727540673	0.325897800984571	0.0305232653905231	0.00636734469847918	-0.0144047694871302	0.604391341967491	0.000640921548930737	0.492399196467616	-0.00173106305742875	0.457635930562218	0.0288929554767445	0.522435045479471	+	-	0.165477835912264	0.735107718860495	Nerve - Tibial-MacrophageSum	0	1	0	0
Nerve - Tibial	MastSum	-0.00359899376829099	0.18675455926698	-0.00919062280031075	0.176840717263283	-0.000281529879207375	0.969540966892718	-0.0254747815198372	0.166816785710867	0.000340042662971349	0.0271245595967067	-0.0003515341645278	0.358912859534892	0.145312054834103	0.204789001275258	-	-	0.334926565410312	0.44001961084819	Nerve - Tibial-MastSum	0	0	0	0
Nerve - Tibial	Myeloid_Sum	0.00138131833968802	0.663985972939106	-0.0178618775060436	0.0248579696669105	0.0359936021385299	0.0317986507129381	-0.0396332781133403	0.342506741876776	0.000261375633380459	0.968224363508081	-0.058728125916643	0.000374425790052931	0.271166697986583	0.00314613428334226	+	-	0.47454172147652	0.0263281763711273	Nerve - Tibial-Myeloid_Sum	1	0	0	1
Nerve - Tibial	Monocytes	0.00170803945274697	0.400682024300238	0.000317119049777366	0.950137583949198	0.00898340074530576	0.0795855214706919	0.00336825136476702	0.791924859270541	0.000803526129912129	0.225402394856125	-0.00314962125699071	0.0572921556708278	0.169318152427325	0.375192960389992	+	+	0.348878195079003	0.615007017546481	Nerve - Tibial-Monocytes	0	0	0	0
