SMTSD	MacrophageSum.CIB_Abs
Brain - Cortex	0.065337564530064
Brain - Cerebellum	0.0314639063411304
Whole Blood	0.171746450782328
Adipose - Subcutaneous	1.6425569304913
Artery - Tibial	0.276225348661791
Muscle - Skeletal	0.0991776302842686
Thyroid	0.935097551121901
Skin - Not Sun Exposed (Suprapubic)	0.205686102544259
Testis	0.0533203515620369
Whole Blood	0.0782196025771243
Adrenal Gland	0.298683451356949
Lung	1.01949179840031
Spleen	1.97412681568931
Liver	0.152625504173423
Thyroid	0.559471835638242
Esophagus - Mucosa	0.244673382216467
Esophagus - Muscularis	0.273629668242138
Esophagus - Gastroesophageal Junction	0.21254691761388
Pancreas	0.0539604736731023
Adipose - Visceral (Omentum)	0.519719783653104
Stomach	0.118234579131866
Small Intestine - Terminal Ileum	0.537947515338272
Colon - Transverse	0.211701025298987
Colon - Sigmoid	0.521882792355099
Skin - Not Sun Exposed (Suprapubic)	0.424840740453956
Prostate	0.373600759277166
Breast - Mammary Tissue	0.409547343588048
Testis	0.198205595025881
Minor Salivary Gland	0.341240407478641
Muscle - Skeletal	0.0777379737077588
Artery - Tibial	0.142329549181072
Nerve - Tibial	0.724380878543456
Skin - Sun Exposed (Lower leg)	0.101987721683192
Adipose - Subcutaneous	0.690916620796295
Whole Blood	0.354725590251812
Skin - Not Sun Exposed (Suprapubic)	0.177030061711578
Artery - Aorta	0.185211864635528
Heart - Atrial Appendage	0.107193908018055
Heart - Left Ventricle	0.085793203550562
Artery - Coronary	1.86069659700818
Thyroid	0.310596203701563
Adipose - Visceral (Omentum)	1.1825805946324
Esophagus - Muscularis	0.0185069398649081
Colon - Sigmoid	0.500534510065606
Testis	0.184629472809873
Breast - Mammary Tissue	0.723918757668872
Muscle - Skeletal	0.0444081988829002
Adipose - Subcutaneous	1.34769884837404
Skin - Sun Exposed (Lower leg)	0.214525129255293
Nerve - Tibial	0.629001823158975
Artery - Tibial	1.45032600387564
Pituitary	0.161513646715313
Brain - Cortex	0.0500470346642637
Whole Blood	0.101982070821408
Brain - Hippocampus	0.132000674410488
Brain - Substantia nigra	0.225892388184104
Brain - Anterior cingulate cortex (BA24)	0.0323987724862232
Adipose - Visceral (Omentum)	1.19995925471482
Thyroid	0.0772025456934892
Breast - Mammary Tissue	1.58405186874003
Adipose - Subcutaneous	1.6023625979757
Skin - Sun Exposed (Lower leg)	0.48678853138638
Muscle - Skeletal	0.0255344698064888
Nerve - Tibial	0.939558926417326
Pituitary	1.06211071269812
Brain - Cortex	0.11477590244972
Brain - Cerebellum	0.0627458944368096
Whole Blood	0.117666598236454
Brain - Frontal Cortex (BA9)	0
Brain - Cerebellar Hemisphere	0.0525583869627052
Brain - Caudate (basal ganglia)	0.0597232602117476
Brain - Nucleus accumbens (basal ganglia)	0.0719984304402
Brain - Putamen (basal ganglia)	0.000545358589494631
Brain - Hypothalamus	0.0476561009024422
Brain - Spinal cord (cervical c-1)	0.135648711987001
Ovary	0.0900214279402629
Adrenal Gland	0.329415739815245
Pancreas	0.0190857838220469
Liver	0.191300244725995
Lung	0.821656828273899
Artery - Aorta	0.334304378654954
Heart - Atrial Appendage	0.25727560691173
Heart - Left Ventricle	0.0399362856557286
Colon - Transverse	0.290540038950478
Esophagus - Muscularis	0.105042559418969
Esophagus - Mucosa	0.117669483204931
Stomach	0.00541376539982263
Vagina	0.385740701669178
Skin - Not Sun Exposed (Suprapubic)	0.0945874897992664
Uterus	0.135280570675631
Skin - Sun Exposed (Lower leg)	0.147353364232058
Muscle - Skeletal	0.073903615368602
Nerve - Tibial	0.7763805819087
Artery - Tibial	0.26907624446029
Pituitary	0.575275769537453
Brain - Cerebellum	0.0422004396545784
Brain - Cortex	0.000334814999319702
Brain - Frontal Cortex (BA9)	0.0826405286420062
Brain - Cerebellar Hemisphere	0.0361956456388176
Brain - Caudate (basal ganglia)	0.125244491104473
Brain - Hypothalamus	0.0779408026229324
Skin - Sun Exposed (Lower leg)	0.450627834865928
Adipose - Subcutaneous	1.08978037837033
Muscle - Skeletal	0.0733194495564176
Nerve - Tibial	0.617839054564324
Whole Blood	0.218114495207608
Lung	2.1858889729389
Adipose - Visceral (Omentum)	0.36929779922184
Thyroid	0.434931369587977
Pancreas	0.0750394855922407
Artery - Aorta	1.04629452880906
Heart - Left Ventricle	0.171154984975814
Artery - Coronary	0.736632547491637
Small Intestine - Terminal Ileum	0.228523564676601
Colon - Transverse	0.114508771743605
Colon - Sigmoid	0.0353461163201743
Esophagus - Muscularis	0.163490576356141
Esophagus - Mucosa	0.0585526457675079
Stomach	0.0503867988859035
Adrenal Gland	0.622021843975243
Ovary	0.160121180385748
Vagina	0.0970773367810494
Uterus	0.115959364145959
Breast - Mammary Tissue	0.44000844875351
Artery - Tibial	0.248577122039307
Muscle - Skeletal	0.0361744090569728
Adipose - Subcutaneous	1.02066412615472
Whole Blood	0.0948839503226081
Spleen	2.22488654013317
Pancreas	0.0700124653892845
Adipose - Visceral (Omentum)	0.692918091690431
Lung	1.8356383675171
Thyroid	0.504757475465724
Artery - Aorta	0.823403785239006
Heart - Atrial Appendage	0.218008177375648
Heart - Left Ventricle	0.122205038039482
Skin - Sun Exposed (Lower leg)	0.170495107760792
Adipose - Subcutaneous	0.568456422186441
Muscle - Skeletal	0.0814771770654155
Nerve - Tibial	0.488890354289327
Artery - Tibial	0.157786468976414
Esophagus - Gastroesophageal Junction	0.267511726282033
Esophagus - Muscularis	0.111931938909229
Esophagus - Mucosa	0.300902232664103
Small Intestine - Terminal Ileum	0.285671164036153
Colon - Transverse	0.392004728517888
Skin - Not Sun Exposed (Suprapubic)	0.510336356481184
Testis	0.168480016086375
Breast - Mammary Tissue	0.399156636205738
Whole Blood	0.165522276378149
Thyroid	0.164411696192012
Adrenal Gland	0.200948147224798
Lung	1.50958729906942
Spleen	0.481916765214308
Pancreas	0.0444399277558402
Skin - Not Sun Exposed (Suprapubic)	0.300906668354629
Prostate	0.337416924047635
Breast - Mammary Tissue	0.70875526714904
Testis	0.0393199164700099
Esophagus - Mucosa	0.104642488975997
Esophagus - Muscularis	0.27055096801454
Stomach	0.0862818008226955
Colon - Transverse	0.511807853721143
Small Intestine - Terminal Ileum	0.810766615037323
Nerve - Tibial	0.846557391385279
Muscle - Skeletal	0.0421258574879464
Skin - Sun Exposed (Lower leg)	0.149042509946792
Whole Blood	0.122402246312744
Skin - Sun Exposed (Lower leg)	0.203117178566541
Muscle - Skeletal	0.0407581932331487
Nerve - Tibial	0.805928071696269
Artery - Tibial	0.203774820396582
Artery - Aorta	0.567441566722095
Lung	2.15313367200662
Heart - Atrial Appendage	0.184594525377128
Thyroid	0.450846188703517
Liver	0.0731730137367121
Esophagus - Mucosa	0.125105094235775
Esophagus - Gastroesophageal Junction	0.128657660066284
Adipose - Visceral (Omentum)	0.443545629165609
Stomach	0.076516480942893
Testis	0.0245714756578658
Skin - Not Sun Exposed (Suprapubic)	0.120679427719215
Brain - Cortex	0.0822365647522179
Brain - Cerebellum	0.022883962985795
Pituitary	0.509584875698757
Whole Blood	0.0554446662758908
Brain - Caudate (basal ganglia)	0.169285128527167
Brain - Nucleus accumbens (basal ganglia)	0.120131667102572
Brain - Putamen (basal ganglia)	0.144695033147557
Muscle - Skeletal	0.0464835745920441
Artery - Tibial	0.139741499239456
Thyroid	0.712275442745091
Heart - Atrial Appendage	0.241091926283169
Lung	1.18299533924845
Liver	0.14220951206194
Adipose - Visceral (Omentum)	0.964023583467976
Testis	0.0369891528269778
Minor Salivary Gland	0.148502382282322
Breast - Mammary Tissue	0.984341791401016
Brain - Cortex	0.130853918034629
Brain - Cerebellum	0.0827307346856244
Pituitary	0.596085703249487
Whole Blood	0.129572081115336
Skin - Sun Exposed (Lower leg)	0.290628502574941
Adipose - Subcutaneous	0.822916456218077
Muscle - Skeletal	0.0617810148178878
Artery - Tibial	0.161232270458286
Nerve - Tibial	0.523296095310246
Skin - Not Sun Exposed (Suprapubic)	0.451443358511846
Testis	0.106985339512616
Heart - Atrial Appendage	0.253240764848271
Heart - Left Ventricle	0.224999199594337
Lung	1.12861117937885
Esophagus - Muscularis	0.50991072070921
Esophagus - Gastroesophageal Junction	0.310799722851959
Breast - Mammary Tissue	0.982985259761915
Colon - Transverse	0.273499576590389
Thyroid	0.86541696284075
Prostate	0.563910718959369
Brain - Cerebellum	0.0445601740927526
Brain - Cortex	0.0564702572299135
Pituitary	0.339506698052444
Whole Blood	0.189734371092134
Skin - Sun Exposed (Lower leg)	0.160309031175403
Muscle - Skeletal	0.046851046349678
Artery - Tibial	0.114015699938921
Nerve - Tibial	0.748515669554439
Brain - Cerebellum	0.0426868337570233
Brain - Cortex	0.0131813364222923
Whole Blood	0.224586168775561
Brain - Cerebellar Hemisphere	0.0357181362228517
Brain - Caudate (basal ganglia)	0.199075075894785
Brain - Nucleus accumbens (basal ganglia)	0.0960392656263733
Brain - Putamen (basal ganglia)	0.121065906151305
Brain - Hypothalamus	0.159082178169635
Skin - Not Sun Exposed (Suprapubic)	0.105448462575788
Thyroid	0.516302042080042
Liver	0.140196005897366
Adipose - Visceral (Omentum)	1.11606750968663
Lung	1.04731783512815
